task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,amanda1000,right,right,full,2,A,57,b2,experimental,Switching,NA,NA,right,right,1,1844,142,Sam does not like desserts that are too,tart,True,4,8,1364503,0.86,peele,no,2026-02-25 00:58:27,2026-02-25 00:58:33
SD,amanda1000,right,right,full,2,A,58,b2,experimental,Meaningless,NA,NA,left,right,0,1298,291,The new officer was of a higher,ball,False,4,7,43872888,0.81,block_baldwin,no,2026-02-25 00:58:33,2026-02-25 00:58:38
SD,amanda1000,right,right,full,2,A,59,b2,experimental,Meaningless,NA,NA,left,left,1,1253,270,The cop entered the building and showed his,tour,False,4,8,75960822,0.92,peele,no,2026-02-25 00:58:39,2026-02-25 00:58:44
SD,amanda1000,right,right,full,2,A,60,b2,experimental,Switching,NA,NA,right,right,1,863,139,Suzy saw a sign that said babysitter for,weekends,True,8,8,9954499,0.88,peele,no,2026-02-25 00:58:45,2026-02-25 00:58:50
SD,amanda1000,right,right,full,2,A,61,b2,experimental,Meaningless,NA,NA,left,left,1,1459,300,She graduated at the top of her,lint,False,4,7,1056974,0.95,block_baldwin,no,2026-02-25 00:58:50,2026-02-25 00:58:56
SD,amanda1000,right,right,full,2,A,62,b2,experimental,Predictable,NA,NA,right,right,1,800,65,None of his books made any,sense,True,5,6,53007762,0.87,block_baldwin,no,2026-02-25 00:58:56,2026-02-25 00:59:00
SD,amanda1000,right,right,full,2,A,63,b2,experimental,Predictable,NA,NA,right,left,0,1701,84,Incredibly poor food service is my pet,peeve,True,5,7,213863,0.96,peele,no,2026-02-25 00:59:01,2026-02-25 00:59:06
SD,amanda1000,right,right,full,2,A,64,b2,experimental,Predictable,NA,NA,right,left,0,1655,29,The boat passed easily under the,bridge,True,6,6,35345740,0.89,block_baldwin,no,2026-02-25 00:59:07,2026-02-25 00:59:11
SD,amanda1000,right,right,full,2,A,65,b2,experimental,Switching,NA,NA,right,right,1,1023,141,Lily had disliked him from the moment they,talked,True,6,8,9614167,0.99,peele,no,2026-02-25 00:59:12,2026-02-25 00:59:17
SD,amanda1000,right,right,full,2,A,66,b2,experimental,Switching,NA,NA,right,right,1,816,125,Chocolate is made from the roasted cacao,seeds,True,5,7,11239247,0.84,peele,no,2026-02-25 00:59:18,2026-02-25 00:59:22
SD,amanda1000,right,right,full,2,A,67,b2,experimental,Meaningless,NA,NA,left,left,1,1007,276,The infant cried when she got stung by a,die,False,3,9,46929581,0.9,peele,no,2026-02-25 00:59:23,2026-02-25 00:59:29
SD,amanda1000,right,right,full,2,A,68,b2,experimental,Predictable,NA,NA,right,right,1,740,67,Drivers should keep your eyes on the,road,True,4,7,134754203,0.92,block_baldwin,yes,2026-02-25 00:59:29,2026-02-25 00:59:33
SD,amanda1000,right,right,full,2,A,69,b2,experimental,Predictable,NA,NA,right,right,1,1523,38,The kitten played with the ball of,yarn,True,4,7,5119178,0.94,block_baldwin,no,2026-02-25 00:59:34,2026-02-25 00:59:39
SD,amanda1000,right,right,full,2,A,70,b2,experimental,Switching,NA,NA,right,right,1,726,107,Paulina gave the huge lollipop a big,bite,True,4,7,6067411,0.88,peele,no,2026-02-25 00:59:40,2026-02-25 00:59:44
SD,amanda1000,right,right,full,2,A,71,b2,experimental,Meaningless,NA,NA,left,left,1,957,274,"In the courtroom, the defendant was silenced by the",apple,False,5,9,50913495,0.85,peele,no,2026-02-25 00:59:45,2026-02-25 00:59:50
SD,amanda1000,right,right,full,2,A,72,b2,experimental,Switching,NA,NA,right,right,1,658,119,The patient's broken arm took a while to,xray,True,4,8,496284,0.88,peele,no,2026-02-25 00:59:51,2026-02-25 00:59:56
SD,amanda1000,right,right,full,2,A,73,b2,experimental,Switching,NA,NA,right,right,1,970,122,It was announced that the two companies would,compete,True,7,9,9274206,0.96,peele,yes,2026-02-25 00:59:56,2026-02-25 01:00:02
SD,amanda1000,right,right,full,2,A,74,b2,experimental,Switching,NA,NA,right,right,1,1100,102,"After swallowing too quickly, Simon began to",burp,True,4,7,455109,0.82,peele,no,2026-02-25 01:00:02,2026-02-25 01:00:07
SD,amanda1000,right,right,full,2,A,75,b2,experimental,Meaningless,NA,NA,left,left,1,1450,271,He turned to see the dog charging like a,shirt,False,5,9,40728131,0.83,peele,no,2026-02-25 01:00:07,2026-02-25 01:00:14
SD,amanda1000,right,right,full,2,A,76,b2,experimental,Predictable,NA,NA,right,right,1,2069,39,He climbed a ladder in order to reshingle the,roof,True,4,9,14851514,0.86,block_baldwin,no,2026-02-25 01:00:14,2026-02-25 01:00:21
SD,amanda1000,right,right,full,2,A,77,b2,experimental,Predictable,NA,NA,right,right,1,1230,81,The store employees knew it was illegal to,steal,True,5,8,6267924,0.87,block_baldwin,no,2026-02-25 01:00:22,2026-02-25 01:00:27
SD,amanda1000,right,right,full,2,A,78,b2,experimental,Predictable,NA,NA,right,right,1,1059,50,John swept the floor with a,broom,True,5,6,1313376,0.9,block_baldwin,no,2026-02-25 01:00:28,2026-02-25 01:00:32
SD,amanda1000,right,right,full,2,A,79,b2,experimental,Switching,NA,NA,right,right,1,861,132,Charles knew that the woman was out of his,class,True,5,9,197874283,0.82,peele,no,2026-02-25 01:00:32,2026-02-25 01:00:38
SD,amanda1000,right,right,full,2,A,80,b2,experimental,Meaningless,NA,NA,left,left,1,1072,282,He turned the page of his favorite,tiger,False,5,7,13806456,0.9,block_baldwin,no,2026-02-25 01:00:39,2026-02-25 01:00:43
SD,amanda1000,right,right,full,2,A,81,b2,experimental,Switching,NA,NA,right,left,0,1327,136,Steven had been raised believing that lying was a,crime,True,5,9,40638766,0.91,peele,no,2026-02-25 01:00:44,2026-02-25 01:00:50
SD,amanda1000,right,right,full,2,A,82,b2,experimental,Predictable,NA,NA,right,right,1,901,53,The maid dusted the books on the,shelf,True,5,7,11330977,0.93,block_baldwin,no,2026-02-25 01:00:50,2026-02-25 01:00:55
SD,amanda1000,right,right,full,2,A,83,b2,experimental,Meaningless,NA,NA,left,right,0,604,280,The man presented his new fiancée with an expensive,salt,False,4,9,25429464,0.81,block_baldwin,no,2026-02-25 01:00:56,2026-02-25 01:01:01
SD,amanda1000,right,right,full,2,A,84,b2,experimental,Predictable,NA,NA,right,NA,0,4000,32,The thief ran by and snatched the lady's,purse,True,5,8,5500366,0.87,block_baldwin,no,2026-02-25 01:01:01,2026-02-25 01:01:10
SD,amanda1000,right,right,full,2,A,85,b2,experimental,Predictable,NA,NA,right,right,1,931,59,The woman's shirt was so worn it had a,hole,True,4,9,26349274,0.86,block_baldwin,no,2026-02-25 01:01:10,2026-02-25 01:01:16
SD,amanda1000,right,right,full,2,A,86,b2,experimental,Meaningless,NA,NA,left,left,1,700,275,"After saying goodbye, Tim gave his wife a quick",shave,False,5,9,2583608,0.84,peele,no,2026-02-25 01:01:16,2026-02-25 01:01:22
SD,amanda1000,right,right,full,2,A,87,b2,experimental,Switching,NA,NA,right,right,1,750,129,He knew about the prank they were trying to,complete,True,8,9,152155277,0.8,peele,no,2026-02-25 01:01:22,2026-02-25 01:01:28
SD,amanda1000,right,right,full,2,A,88,b2,experimental,Meaningless,NA,NA,left,left,1,1283,269,"While cooking, Luke accidentally cut himself with a",iceberg,False,7,8,1226846,0.96,peele,no,2026-02-25 01:01:28,2026-02-25 01:01:34
SD,amanda1000,right,right,full,2,A,89,b2,experimental,Meaningless,NA,NA,left,right,0,745,295,The landlord did not like when the rent was,boring,False,6,9,6610108,0.8,block_baldwin,no,2026-02-25 01:01:35,2026-02-25 01:01:40
SD,amanda1000,right,right,full,2,A,90,b2,experimental,Switching,NA,NA,right,right,1,643,118,"Married to a duchess, Max earned the title of",earl,True,4,9,7098366,0.88,peele,no,2026-02-25 01:01:41,2026-02-25 01:01:46
SD,amanda1000,right,right,full,2,A,91,b2,experimental,Switching,NA,NA,right,right,1,445,98,"During the hike, Lila's feet hurt more with each",mile,True,4,9,22290799,0.98,peele,no,2026-02-25 01:01:46,2026-02-25 01:01:52
SD,amanda1000,right,right,full,2,A,92,b2,experimental,Switching,NA,NA,right,right,1,711,128,Chris said his dog had always been his best,pal,True,3,9,10016948,0.95,peele,no,2026-02-25 01:01:52,2026-02-25 01:01:58
SD,amanda1000,right,right,full,2,A,93,b2,experimental,Predictable,NA,NA,right,right,1,1097,40,"After raking the yard, Pat jumped into the pile of",leaves,True,6,10,22697689,0.92,block_baldwin,no,2026-02-25 01:01:58,2026-02-25 01:02:05
SD,amanda1000,right,right,full,2,A,94,b2,experimental,Predictable,NA,NA,right,right,1,697,80,The expensive tie was made of,silk,True,4,6,13137405,0.89,block_baldwin,no,2026-02-25 01:02:05,2026-02-25 01:02:09
SD,amanda1000,right,right,full,2,A,95,b2,experimental,Meaningless,NA,NA,left,left,1,937,303,A Dalmatian dog is recognized by its black and white,book,False,4,10,345413157,0.84,block_baldwin,no,2026-02-25 01:02:10,2026-02-25 01:02:16
SD,amanda1000,right,right,full,2,A,96,b2,experimental,Meaningless,NA,NA,left,right,0,804,268,George sprinted out the door because he was in a,pear,False,4,10,4333394,0.87,peele,no,2026-02-25 01:02:16,2026-02-25 01:02:22
SD,amanda1000,right,right,full,2,A,97,b2,experimental,Switching,NA,NA,right,right,1,936,133,Their water source on the farm was the old,pond,True,4,9,9246183,0.89,peele,no,2026-02-25 01:02:23,2026-02-25 01:02:29
SD,amanda1000,right,right,full,2,A,98,b2,experimental,Meaningless,NA,NA,left,left,1,1035,290,The little girl was very afraid of the,cotton,False,6,8,23426176,0.81,block_baldwin,no,2026-02-25 01:02:29,2026-02-25 01:02:34
SD,amanda1000,right,right,full,2,A,99,b2,experimental,Meaningless,NA,NA,left,right,0,708,281,The farmer spends the morning milking his,act,False,3,7,144298238,0.94,block_baldwin,yes,2026-02-25 01:02:35,2026-02-25 01:02:39
